File,sbj,Block_nr,Trial_nr,ItemID,word_1,word_2,word_3,picture,filename,marker,condition,constraint,wordorder,presentation_RT,accuracy,accuracy_comments,manual_RT
Exp_EEG2.txt,2,5,98,95,bewaarde,bonnetje,van,ring,ring01.png,9,structured,uc,VOP,710,1,,0.613333333
Exp_EEG2.txt,2,5,99,27,at,soep,met,lepel,spoon02b.png,1,structured,c,VOP,780,1,,0.746666667
Exp_EEG2.txt,2,5,100,194,herder,ticket,cadeau,piramide,pyramid.png,7,unstructured,uc,NO,760,1,,0.706666667
Exp_EEG2.txt,2,5,101,216,penseel,oase,glazuur,vlinder,butterfly.png,7,unstructured,uc,NO,780,1,,0.706666667
Exp_EEG2.txt,2,5,102,150,hagedis,reptiel,vergif,slang ,snake.png,3,unstructured,c,NO,660,1,,0.577843257
Exp_EEG2.txt,2,5,103,76,legde,armband,bij,kapstok,coatrack.png,9,structured,uc,VOP,790,1,,0.758695244
Exp_EEG2.txt,2,5,104,127,gazon,weide,maaier,gras,grass.png,3,unstructured,c,NO,690,1,,0.581611007
Exp_EEG2.txt,2,5,105,187,benzine,publiek,oven,koffer,suitcase.png,7,unstructured,uc,NO,620,1,,0.585378757
Exp_EEG2.txt,2,5,106,215,prins,apparaat,trofee,vliegtuig,plane.png,7,unstructured,uc,NO,660,1,,0.624940129
Exp_EEG2.txt,2,5,107,15,schonk,wijn,in,glas,glass.png,1,structured,c,VOP,920,1,,0.817095364
Exp_EEG2.txt,2,5,108,219,gazon,krater,statief,woestijn,desert.png,7,unstructured,uc,NO,1360,0,vulkaan,1.2
Exp_EEG2.txt,2,5,109,151,rodeo,horens,vee,stier,bull.png,3,unstructured,c,NO,990,1,,0.653198252
Exp_EEG2.txt,2,5,110,5,leest,evangelie,uit,bijbel,bible.png,1,structured,c,VOP,770,1,,0.733333333
Exp_EEG2.txt,2,6,111,51,eend,zwemt,in,water,water.png,1,structured,c,SVP,930,1,,0.893333333
Exp_EEG2.txt,2,6,112,89,vogels,vlogen,over,nest,nest.png,9,structured,uc,SVP,880,1,,0.826666667
Exp_EEG2.txt,2,6,113,111,zomer,vrucht,beschuit,aardbei,strawberry.png,3,unstructured,c,NO,600,1,,0.653333333
Exp_EEG2.txt,2,6,114,25,sloot,wijnfles,met,kurk,cork02.png,1,structured,c,VOP,640,1,,0.589146507
Exp_EEG2.txt,2,6,115,196,dooier,ruimtestation,foto,plantje,plant02b.png,7,unstructured,uc,NO,760,1,,0.72
Exp_EEG2.txt,2,6,116,7,leerling,bladerde,door,boek,book.png,1,structured,c,SVP,860,1,,0.818979239
Exp_EEG2.txt,2,6,117,68,moeder,liep,naar,deur,deur.png,9,structured,uc,SVP,740,1,,0.685224124
Exp_EEG2.txt,2,6,118,117,popcorn,filmfestival,kaartje,bioscoop,bioscoop.png,3,unstructured,c,NO,940,1,,0.826666667
Exp_EEG2.txt,2,6,119,167,aansteker,elfen,dierentuin,alien,alien.png,7,unstructured,uc,NO,770,1,,0.724785496
Exp_EEG2.txt,2,6,120,195,toetsenbord,vakantie,horens,pistool,gun.png,7,unstructured,uc,NO,0,1,,0.706666667
Exp_EEG2.txt,2,6,121,75,vrouw,koos,voor,ijsje,ijsje.png,9,structured,uc,SVP,950,1,,0.92
Exp_EEG2.txt,2,6,122,121,zoomlens,foto,statief,camera,camera.png,3,unstructured,c,NO,710,1,,0.67580475
Exp_EEG2.txt,2,6,123,129,cadeau,elfen,rendier,kerstman,santa.png,3,unstructured,c,NO,710,1,,0.68
Exp_EEG2.txt,2,6,124,71,zag,reclame,over,hamer,hammer02b.png,9,structured,uc,VOP,820,1,,0.786666667
Exp_EEG2.txt,2,6,125,66,nam,mand,met,brood,brood.png,9,structured,uc,VOP,850,1,,0.693333333
Exp_EEG2.txt,2,6,126,74,kocht,deken,voor,hond,dog.png,9,structured,uc,VOP,0,1,,0.626666667
Exp_EEG2.txt,2,6,127,193,toiletpapier,programmeur,capuchon,oor,ear.png,7,unstructured,uc,NO,830,1,,0.76
Exp_EEG2.txt,2,6,128,164,kameel,cactus,oase,woestijn,desert.png,3,unstructured,c,NO,1460,0,oase,1.28
Exp_EEG2.txt,2,6,129,206,lava,kaneel,draad,stier,bull.png,7,unstructured,uc,NO,1120,1,,0.843469612
Exp_EEG2.txt,2,6,130,36,boogschieter,schoot,met,pijl,arrow02.png,1,structured,c,SVP,570,1,,0.546666667
Exp_EEG2.txt,2,6,131,171,winkelwagen,zadel,snaar,bijen,bijen.png,7,unstructured,uc,NO,840,1,,0.813333333
Exp_EEG2.txt,2,6,132,208,kin,vee,holster,taart,cake.png,7,unstructured,uc,NO,710,1,,0.673920875
Exp_EEG2.txt,2,7,133,97,concierge,keek,naar,schoolbord,schoolbord.png,9,structured,uc,SVP,830,2,bord,0.754927494
Exp_EEG2.txt,2,7,134,185,vaasje,ballon,tsunami,kikker,frog.png,7,unstructured,uc,NO,670,1,,0.634359503
Exp_EEG2.txt,2,7,135,210,vergif,cocon,leger,tomaat,tomato01.png,7,unstructured,uc,NO,0,1,,0.613333333
Exp_EEG2.txt,2,7,136,145,herder,kudde,wol,schaap,sheep.png,3,unstructured,c,NO,930,1,,0.794488866
